Unnamed: 0,year,log_gdp,social_s,life_ex,life_choices,generosity,corruption,positive_a,negative_a,population,spirit_c,wine_c,beer_c,forest_c,u_pop,age_dr,happiness_s
0,2008,7.37,0.451,50.8,0.718,0.168,0.882,0.518,0.258,27722281.0,0.01809,0.00089,0.00857,1.850994087553228,23.32,102.078658552986,3.724
1,2009,7.54,0.552,51.2,0.679,0.19,0.85,0.584,0.237,28394806.0,0.0,0.0,0.00972,1.850994087553228,23.528,102.249014354329,4.402
2,2010,7.647,0.539,51.6,0.6,0.121,0.707,0.618,0.275,29185511.0,0.0,0.0,0.01,1.850994087553228,23.737,102.04582265028,4.758
3,2011,7.62,0.521,51.92,0.496,0.162,0.731,0.611,0.267,30117411.0,0.0,0.0,0.0,1.850994087553228,23.948,100.224460810072,3.832
4,2012,7.705,0.521,52.24,0.531,0.236,0.776,0.71,0.268,31161378.0,0.0,0.0,0.0,1.850994087553228,24.16,97.9259472109872,3.783
5,2013,7.725,0.484,52.56,0.578,0.061,0.823,0.621,0.273,32269592.0,0.0,0.0,0.0,1.850994087553228,24.373,95.3387363003889,3.572
6,2014,7.718,0.526,52.88,0.509,0.104,0.871,0.532,0.375,33370803.0,0.01,0.0,0.0,1.850994087553228,24.587,92.6491430408227,3.131
7,2015,7.702,0.529,53.2,0.389,0.08,0.881,0.554,0.339,34413603.0,0.0,0.0,0.0,1.850994087553228,24.803,89.9540923341871,3.983
8,2016,7.697,0.559,53.0,0.523,0.042,0.793,0.565,0.348,35383028.0,0.01,0.0,0.0,1.850994087553228,25.02,87.9417880743028,4.22
9,2017,7.697,0.491,52.8,0.427,-0.121,0.954,0.496,0.371,36296111.0,0.01,0.0,0.0,1.850994087553228,25.25,86.0007546392816,2.662
10,2018,7.692,0.508,52.6,0.374,-0.094,0.928,0.424,0.405,37171922.0,0.01,0.0,0.0,1.850994087553228,25.495,84.0776554602003,2.694
11,2019,7.697,0.42,52.4,0.394,-0.108,0.924,0.351,0.502,38041757.0,0.01,0.0,0.0,1.850994087553228,25.754,82.1097716001822,2.375
12,2007,9.142,0.821,65.8,0.529,-0.009,0.875,0.553,0.246,3033993.0,2.35419,1.056,1.94369,28.40288321167883,48.902,51.6043424952196,4.634
13,2009,9.262,0.833,66.2,0.525,-0.158,0.864,0.64,0.279,2973044.0,2.4142,1.056,2.20543,28.496094890510943,51.076,50.0440775642123,5.485
14,2010,9.303,0.733,66.4,0.569,-0.172,0.726,0.648,0.3,2948029.0,1.97,1.08,1.71,28.54270072992701,52.163,49.4779086790466,5.269
15,2011,9.331,0.759,66.68,0.487,-0.205,0.877,0.628,0.257,2928601.0,1.99,1.08,1.88,28.594653284671534,53.247,48.1180582286677,5.867
16,2012,9.347,0.785,66.96,0.602,-0.169,0.848,0.607,0.271,2914091.0,1.88,1.12,1.34,28.646605839416058,54.33,47.033079896868,5.51
17,2013,9.359,0.759,67.24,0.632,-0.127,0.863,0.634,0.338,2903788.0,1.79,1.07,1.34,28.698558394160585,55.387,46.2566558556374,4.551
18,2014,9.378,0.626,67.52,0.735,-0.025,0.883,0.685,0.335,2896307.0,1.74,0.99,1.29,28.750510948905102,56.423,45.7746795115992,4.814
19,2015,9.403,0.639,67.8,0.704,-0.081,0.885,0.688,0.35,2890524.0,1.68,1.1,1.48,28.80246350364964,57.434,45.5504024648604,4.607
20,2016,9.437,0.638,68.1,0.73,-0.017,0.901,0.675,0.322,2886427.0,1.61,1.17,1.52,28.80036496350365,58.421,45.6450337108694,4.511
21,2017,9.476,0.638,68.4,0.75,-0.029,0.876,0.669,0.334,2884169.0,1.56,1.11,1.64,28.798266423357667,59.383,45.6820974885622,4.64
22,2018,9.518,0.684,68.7,0.824,0.009,0.899,0.713,0.319,2882735.0,1.5,1.12,1.75,28.79616788321168,60.319,45.8100373938934,5.004
23,2019,9.544,0.686,69.0,0.777,-0.099,0.914,0.681,0.274,2880913.0,1.43,1.15,1.75,28.794069343065694,61.229,46.2035217630944,4.995
24,2010,9.287,0.838,64.5,0.593,-0.205,0.618,0.725,0.256,35977451.0,0.04,0.13,0.18,0.805293270762858,67.54,48.6745374708281,5.464
25,2011,9.297,0.81,64.66,0.53,-0.181,0.638,0.55,0.255,36661438.0,0.06,0.13,0.21,0.8084842138586857,68.236,49.2130946001183,5.317
26,2012,9.311,0.839,64.82,0.587,-0.172,0.69,0.604,0.23,37383899.0,0.07,0.13,0.23,0.8116751569545135,68.915,49.7782187409741,5.605
27,2014,9.335,0.818,65.14,0.76,-0.0235,0.8045,0.626,0.177,38923688.0,0.1,0.16,0.28,0.8180570431461691,70.221,51.5091894345198,6.355
28,2016,9.362,0.749,65.5,0.76,-0.0235,0.8045,0.661,0.377,40551398.0,0.08,0.18,0.32,0.8206601809348707,71.459,54.1840144635209,5.341
29,2017,9.354,0.807,65.7,0.437,-0.167,0.7,0.642,0.289,41389174.0,0.08,0.2,0.3,0.8200723756277445,72.052,55.8040012048983,5.249
30,2018,9.348,0.799,65.9,0.583,-0.146,0.759,0.591,0.293,42228415.0,0.08,0.2,0.31,0.8194845703206184,72.629,57.5080330994881,5.043
31,2019,9.337,0.803,66.1,0.385,0.005,0.741,0.585,0.215,43053054.0,0.08,0.2,0.31,0.8188967650134922,73.189,58.9904904950003,4.745
32,2011,8.946,0.723,52.5,0.584,0.055,0.911,0.659,0.361,24220660.0,2.28,0.85,4.43,57.4339760968958,60.528,97.9883072371092,5.589
